Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location
Western Ave & Cornell Ave,399,-73.88567,42.69687,763,Guilderland,CORNELL AVENUE,No,No,No,No,Yes,No,"(42.69687, -73.88567)"
TSP Broadway @ Livingston Ave NB CI,5341,-73.748483,42.656846,"922, 923",Albany,UNKNOWN,No,No,No,No,No,No,"(42.656846, -73.748483)"
1220 New Scotland Rd (Mercy Care),10501,-73.84834,42.64678,13,Bethlehem,UNKNOWN,No,No,Yes,No,Yes,No,"(42.64678, -73.84834)"
Columbia Tpke & Homestead Ave,2714,-73.73209,42.61726,233,East Greenbush,MAPLE STREET,No,No,No,No,Yes,No,"(42.61726, -73.73209)"
New Loudon Rd & Homestead Dr,1998,-73.760325,42.726632,182,Colonie,HOMESTEAD DRIVE,Yes,No,No,No,Yes,No,"(42.726632, -73.760325)"
Hoosick St & Lavin Ct,10040,-73.672619,42.738693,"87, 96, 802",Troy,LAVIN COURT,No,No,No,No,Yes,No,"(42.738693, -73.672619)"
Delaware Ave & Village Dr,1320,-73.84756,42.61692,18,Bethlehem,UNKNOWN,No,No,No,No,Yes,No,"(42.61692, -73.84756)"
TSP South Pearl @ Hamilton St / Market NB CO,5326,-73.75407415,42.64745092,"922, 923",Albany,HUDSON AVENUE,No,No,No,No,No,No,"(42.64745092, -73.75407415)"
New Scotland Rd & Normanside Dr,1006,-73.84515,42.64828,13,Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.64828, -73.84515)"
Lincoln Ave & Danker Ave,13427,,,801,Albany,VAN BUREN AVENUE,No,No,No,No,No,No,
Van Tromp & N. Pearl St (Empire Live),1470,-73.750482,42.653059,"100, 106, 107, 125, 806, 870, 872",Albany,VAN TROMP STREET,No,No,Yes,No,Yes,No,"(42.653059, -73.750482)"
Delaware Ave & Hurlbut St,474,-73.77799,42.64258,"18, 801, 803, 805, 806",Albany,UNKNOWN,Yes,No,No,No,Yes,No,"(42.64258, -73.77799)"
Clinton Ave & Lexington Ave,1348,-73.76412,42.66247,"125, 805",Albany,HENRY JOHNSON BOULEVARD,No,No,No,No,Yes,No,"(42.66247, -73.76412)"
Rt 50 & Brookline Rd,2408,-73.861857,42.975157,450,Ballston,UNKNOWN,No,No,No,No,Yes,No,"(42.975157, -73.861857)"
Central Ave & Marjorie Rd,2281,-73.86832,42.74882,355,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.74882, -73.86832)"
Academy Rd & Bethlehem St,13394,,,801,Albany,UNKNOWN,No,No,No,No,No,No,
Hoffman Station - Second Ave & Hoffman Ave,12960,,,"801, 803, 805, 872, 922",Albany,HOFFMAN AVENUE,No,No,No,No,Yes,No,
Sand Creek Rd & Admiral St,1500,-73.79218,42.69793,125,Colonie,OSBORNE ROAD,No,No,No,No,Yes,No,"(42.69793, -73.79218)"
Second Ave & Delaware Ave,10676,-73.78398,42.63973,"106, 801, 803, 805, 813, 872",Albany,UNKNOWN,Yes,No,No,No,Yes,No,"(42.63973, -73.78398)"
Western Ave & Brevator St,865,-73.80675,42.67131,"10, 11, 115, 801, 808, 910",Albany,ORMOND STREET,No,No,No,No,Yes,No,"(42.67131, -73.80675)"
Columbia Tpke & Onderonk Ave,2609,-73.728282,42.613196,233,East Greenbush,SERVIS PLACE,No,No,No,No,Yes,No,"(42.613196, -73.728282)"
Fuller Rd & Railroad Ave,34,-73.826199,42.697373,"117, 190",Guilderland,UNKNOWN,No,No,No,No,Yes,No,"(42.697373, -73.826199)"
Congress Station - 4th St & Congress St,7125,-73.689615,42.728322,"22, 85, 87, 182, 224, 286, 370, 802, 922, 923",Troy,UNKNOWN,Yes,Yes,Yes,No,Yes,No,"(42.728322, -73.689615)"
Green Tech High School,11450,-73.77115,42.64305,812,Albany,SLINGERLAND STREET,No,No,No,No,Yes,No,"(42.64305, -73.77115)"
TSP River St @ Jay St SB CI,5209,-73.683797,42.745746,"922, 923",Troy,CLYDE REA PLACE,No,No,No,No,No,No,"(42.745746, -73.683797)"
Madison Ave & New Scotland Ave,348,-73.77228,42.65499,"114, 115, 805, 806",Albany,NEW SCOTLAND AVENUE,Yes,No,Yes,No,Yes,No,"(42.65499, -73.77228)"
4th St & Canal St,11157,-73.691564,42.719642,"85, 224, 802",Troy,MADISON STREET,No,No,No,No,Yes,No,"(42.719642, -73.691564)"
Western Ave & Homes Terr,404,-73.8632,42.689191,763,Guilderland,HOMES TERRACE,No,No,No,No,Yes,No,"(42.689191, -73.8632)"
Mannix Rd & Tech Valley Dr,13444,-73.699422,42.630805,214,East Greenbush,THOMPSON HILL ROAD,No,No,No,No,Yes,No,"(42.630805, -73.699422)"
Central Ave & Parkwood Dr,2702,-73.83019,42.71538,355,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.71538, -73.83019)"
3rd St & Glen St,11412,-73.73527,42.64882,214,Rensselaer,GLEN STREET,No,No,No,No,Yes,No,"(42.64882, -73.73527)"
Albany St & Gifford Rd,13339,,,810,Schenectady,MANCHESTER ROAD,No,No,No,No,Yes,No,
Watervliet Ave & Hunter Ave,10344,,,"99, 106, 125, 803",Albany,HUNTER AVENUE,No,No,No,No,Yes,No,
Cuthbert St & Wilmarth St,12492,-73.96062,42.83578,353,Glenville,UNKNOWN,No,No,No,No,Yes,No,"(42.83578, -73.96062)"
Rt 7 & Garling Dr,2469,-73.79166,42.76149,370,Colonie,GARLING DRIVE,No,No,No,No,Yes,No,"(42.76149, -73.79166)"
Crossgates Commons,12827,,,"12, 155, 712, 813, 910",Albany,SPRINGSTEEN ROAD,No,Yes,Yes,No,Yes,No,
Duane Ave & Brandywine Ave,12456,-73.929155,42.799214,"352, 810",Schenectady,SOUTH BRANDYWINE AVENUE,No,No,No,No,Yes,No,"(42.799214, -73.929155)"
3rd Ave & 4th St,85,-73.709824,42.710064,22,Watervliet,UNKNOWN,No,No,No,No,Yes,No,"(42.710064, -73.709824)"
5th Ave & 120th St,4315,-73.67096,42.77966,85,Troy,119TH STREET,No,No,No,No,Yes,No,"(42.77966, -73.67096)"
222 Rt 4 & True Value,11121,-73.68904,42.6835,"224, 808",North Greenbush,WANDA COURT,No,No,No,No,Yes,No,"(42.6835, -73.68904)"
Rensselaer Rail Station,10800,-73.7402,42.64075,"214, 808",Rensselaer,HERRICK STREET,No,No,Yes,No,Yes,No,"(42.64075, -73.7402)"
TSP Second Ave @ 102nd St NB CI,5399,-73.682527,42.754865,"922, 923",Troy,MC LAUGHLIN LANE,No,No,No,No,No,No,"(42.754865, -73.682527)"
S. Manning Blvd & Hackett Blvd,13416,,,"801, 803, 805",Albany,HACKETT BOULEVARD,No,No,No,No,No,No,
Western Ave & Daytona Ave,240,-73.8099,42.67218,"10, 11, 115, 801, 808",Albany,CAMPUS ACCESS ROAD,No,No,No,No,Yes,No,"(42.67218, -73.8099)"
TSP Broadway @ Loudonville Road SB CO,5262,-73.74296783,42.66439024,"922, 923",Albany,TIVOLI STREET,No,No,No,No,No,No,"(42.66439024, -73.74296783)"
Livingston Ave & Quail St,3213,-73.767518,42.668889,"100, 106, 801, 803, 805, 872",Albany,NORTH LAKE AVENUE,No,No,No,No,Yes,No,"(42.668889, -73.767518)"
Carman Rd & Fuller Station Rd,1607,-73.94232,42.74525,763,Guilderland,UNKNOWN,No,No,No,No,Yes,No,"(42.74525, -73.94232)"
9 Bruno Blvd (Ravena Senior Projects),12626,,,813,Coeymans,RUSSELL AVENUE,No,No,No,No,Yes,No,
Main St & Center St,12650,-73.928502,42.652345,519,New Scotland,PROSPECT STREET,No,No,No,No,Yes,No,"(42.652345, -73.928502)"
Vanderheyden Hall,10978,-73.614608,42.690563,286,North Greenbush,UNKNOWN,No,No,No,No,Yes,No,"(42.690563, -73.614608)"
Lark Dr & Capital Woods Apts  #2,666,-73.75088,42.66393,"100, 106, 805, 872",Albany,PIETER SCHUYLER COURT EAST,No,No,No,No,Yes,No,"(42.66393, -73.75088)"
Trustco Bank- Brunswick Plaza,2868,-73.641551,42.745376,87,Brunswick,UNKNOWN,No,No,Yes,No,Yes,No,"(42.745376, -73.641551)"
Mohawk Ave & Schermerhorn St,13201,,,"602, 873",Glenville,NORTH TOLL STREET,No,No,No,No,Yes,No,
N. Allen St & State St,2038,-73.78851,42.66982,"106, 114, 801, 803, 806",Albany,CHESTNUT STREET,No,No,No,No,Yes,No,"(42.66982, -73.78851)"
Mariaville Rd & Ford St,1635,-73.98861,42.79189,351,Rotterdam,FRANKLIN STREET,No,No,No,No,Yes,No,"(42.79189, -73.98861)"
Market St & Beacon Ave,13322,,,601,Amsterdam,MC GIBBON STREET,No,No,No,No,Yes,No,
Clinton Ave & Ten Broeck St,3477,-73.75117,42.65497,"125, 801, 805",Albany,CHAPEL STREET,No,Yes,No,No,Yes,No,"(42.65497, -73.75117)"
New Scotland Rd & Hopi St,717,-73.82493,42.653,"13, 803, 805, 806",Albany,COLATOSTI PLACE,No,No,No,No,Yes,No,"(42.653, -73.82493)"
S. Pearl St & McCarty Ave,10689,,,"107, 801",Albany,UNKNOWN,No,No,No,No,No,No,
TSP Second Ave @ 116th St NB CO,5541,-73.67659994,42.77600696,923,Troy,116TH STREET,No,No,No,No,No,No,"(42.77600696, -73.67659994)"
Broadway & Pine St,489,-73.75046,42.65055,"22, 114, 115, 525, 870",Albany,PINE STREET,Yes,No,No,No,Yes,No,"(42.65055, -73.75046)"
Morton Ave & Eagle St,1228,-73.7627,42.64314,"100, 805, 806",Albany,EAGLE STREET,No,No,No,No,Yes,No,"(42.64314, -73.7627)"
TSP Second Ave @ 102nd St SB CO,5204,-73.68255266,42.75645725,"922, 923",Troy,MC LAUGHLIN LANE,No,No,No,No,No,No,"(42.75645725, -73.68255266)"
Lincoln Ave & Southeast St,12990,-73.783164,43.073708,451,Saratoga Springs,VANDERBILT AVENUE,No,No,No,No,Yes,No,"(43.073708, -73.783164)"
Albany Shaker Rd & Wolf Rd,174,-73.7978,42.729624,"117, 737",Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.729624, -73.7978)"
Duane Ave & Brandywine Ave,13037,,,810,Schenectady,SOUTH BRANDYWINE AVENUE,No,No,No,No,Yes,No,
739 Columbia Tpke,10923,-73.69548,42.58523,233,East Greenbush,VAN BUREN AVENUE,No,No,No,No,Yes,No,"(42.58523, -73.69548)"
State St & Elbert St,2267,-73.917179,42.792006,"355, 810, 812",Schenectady,SPRUCE STREET,No,Yes,Yes,No,Yes,No,"(42.792006, -73.917179)"
Rt 50 & Prospect St,12572,-73.849564,43.008282,450,Milton,UNKNOWN,No,No,No,No,Yes,No,"(43.008282, -73.849564)"
Fuller Rd & Sandidge Way,12669,,,"117, 190",Albany,ALUMNI DRIVE,No,No,No,No,Yes,No,
Arch St & James St,11032,-73.69347,42.74623,182,Green Island,UNKNOWN,No,No,No,No,Yes,No,"(42.74623, -73.69347)"
Broadway & Huestis Ct,12878,-73.786782,43.076617,"840, 875",Saratoga Springs,UNKNOWN,Yes,No,No,No,Yes,No,"(43.076617, -73.786782)"
Van Rensselaer Blvd &  Hendrick Ave,2954,-73.742388,42.682372,182,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.682372, -73.742388)"
Tibbits Ave & Brunswick Ave,2883,-73.67619,42.72528,"87, 802",Troy,15TH STREET,No,No,No,No,Yes,No,"(42.72528, -73.67619)"
Albany St & Watt St,13028,,,810,Schenectady,JACKSON AVENUE,No,No,No,No,Yes,No,
TSP River St @ Jay St NB CO,5394,-73.68526145,42.74202957,"922, 923",Troy,RENSSELAER STREET,No,No,No,No,No,No,"(42.74202957, -73.68526145)"
Exit 8 Park & Ride,12308,-73.770982,42.818699,540,Clifton Park,UNKNOWN,No,No,Yes,No,Yes,No,"(42.818699, -73.770982)"
Clizbe Ave & Austin St,13272,,,600,Amsterdam,AUSTIN STREET,No,No,No,No,Yes,No,
Union St & Morningside Ave,1511,-73.90954,42.80676,"370, 810",Schenectady,MORNINGSIDE AVENUE,No,No,No,No,Yes,No,"(42.80676, -73.90954)"
Clizbe Ave & Stella Ln,13266,,,600,Amsterdam,PETER LANE,No,No,No,No,Yes,No,
Western Ave & S. Manning Blvd,249,-73.79575,42.66769,"10, 11, 115, 803, 806, 808",Albany,MANNING BOULEVARD,No,No,No,No,Yes,No,"(42.66769, -73.79575)"
Watervliet Ave & Essex St,1103,-73.781014,42.678333,"99, 125, 872",Albany,UNKNOWN,No,No,Yes,No,Yes,No,"(42.678333, -73.781014)"
Van Schaick Station - Ontario St & Park Ave,4036,-73.68777,42.77298,922,Cohoes,CONTINENTAL AVENUE,No,Yes,Yes,No,Yes,No,"(42.77298, -73.68777)"
Market St & Water St,13321,,,601,Amsterdam,GRANT AVENUE,No,No,No,No,Yes,No,
Broadway & N. Ferry St,10995,-73.745398,42.660493,"22, 805, 806",Albany,VAN WOERT STREET,No,No,No,No,Yes,No,"(42.660493, -73.745398)"
New Scotland & AlbanyMed ER Entrance(discontinued),10815,-73.77444,42.65294,,Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.65294, -73.77444)"
5th Ave & 114th St,4409,-73.67424,42.77276,85,Troy,114TH STREET,No,No,No,No,Yes,No,"(42.77276, -73.67424)"
Rt 50 & Littles Rd,2340,,,450,Ballston,LITTLES ROAD,No,No,No,No,Yes,No,
N. Pearl St & Columbia St,10139,-73.751075,42.652173,"100, 106, 107, 125, 806, 872",Albany,COLUMBIA STREET,No,No,No,No,Yes,No,"(42.652173, -73.751075)"
TSP Second Ave @ Slingerland St SB CO,5296,-73.77155,42.639264,922,Albany,SLINGERLAND STREET,No,No,No,No,No,No,"(42.639264, -73.77155)"
Altamont Ave & Houlton Ave,11231,-73.941338,42.787305,"352, 353",Rotterdam,BERNICE STREET,No,No,No,No,Yes,No,"(42.787305, -73.941338)"
7 Southwoods Blvd,10653,-73.770146,42.68408,737,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.68408, -73.770146)"
Burden Ave & Cross St,7148,-73.697409,42.705374,"85, 224, 802",Troy,KELLY STREET,No,No,No,No,Yes,No,"(42.705374, -73.697409)"
Van Rensselaer Blvd & Wards Ln,2092,-73.740905,42.687041,182,Colonie,WARDS LANE,No,No,No,No,Yes,No,"(42.687041, -73.740905)"
Central Ave & Henry Johnson Blvd,11617,-73.764967,42.658217,"182, 737",Albany,CENTRAL AVENUE,Yes,No,No,No,Yes,No,"(42.658217, -73.764967)"
Livingston Station - N. Pearl St & Livingston Ave,12963,,,"22, 805, 806, 922, 923",Albany,UNKNOWN,No,No,Yes,No,Yes,No,
Washington Ave & S. Swan St,1789,-73.759225,42.654334,"1, 10, 12, 13, 18, 182, 737, 807, 808",Albany,SOUTH SWAN STREET,No,Yes,Yes,No,Yes,No,"(42.654334, -73.759225)"
Nott St & Ardsley Pl,2793,-73.910821,42.818257,"352, 354",Schenectady,ARDSLEY PLACE,No,No,No,No,Yes,No,"(42.818257, -73.910821)"
600 McClellan St (Ellis Health Center),2974,-73.91788,42.80503,"352, 810",Schenectady,BRADLEY STREET,No,Yes,Yes,No,Yes,No,"(42.80503, -73.91788)"
Manor Sites Apt,11559,-73.715296,42.78676,522,Cohoes,WILLIAMS STREET,No,No,Yes,No,Yes,No,"(42.78676, -73.715296)"
Hudson Ave & Liberty St,3938,,,870,Albany,UNKNOWN,Yes,No,No,No,Yes,No,
State St & Chiswell St,1591,-73.90002,42.777,"355, 810",Schenectady,HILLCREST AVENUE,No,No,No,No,Yes,No,"(42.777, -73.90002)"
625 Mt. Hope Dr,10688,-73.76495,42.63206,"107, 801, 803, 805",Albany,UNKNOWN,Yes,No,Yes,No,Yes,No,"(42.63206, -73.76495)"
Sand Creek Rd & Kennedy Dr,10560,-73.79542,42.70092,125,Colonie,PFIEL AVENUE,No,No,No,No,Yes,No,"(42.70092, -73.79542)"
New Scotland Ave & Hackett Blvd,11577,-73.816645,42.65606,"13, 801, 805, 806, 813",Albany,HACKETT BOULEVARD,No,No,No,No,Yes,No,"(42.65606, -73.816645)"
Carman Rd & Marra Ln,1651,-73.94144,42.76111,763,Rotterdam,MARRA LANE,No,No,No,No,Yes,No,"(42.76111, -73.94144)"
6th Ave & Jay St,4186,-73.68295,42.74171,85,Troy,JAY STREET,No,No,No,No,Yes,No,"(42.74171, -73.68295)"
Livingston Station - Broadway & Livingston Ave,10011,-73.74815,42.6575,"22, 805, 806, 922, 923",Albany,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.6575, -73.74815)"
207 Mohawk Ave,3572,-73.96504,42.8268,"353, 602, 873",Glenville,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.8268, -73.96504)"
Quail St & Central Ave,3470,-73.773212,42.665634,100,Albany,SHERMAN STREET,No,No,No,No,Yes,No,"(42.665634, -73.773212)"
91 Kirby Rd,12268,,,451,Saratoga Springs,GLENWOOD DRIVE,No,No,No,No,Yes,No,
Henry St & Caroline St,11727,-73.78255,43.0816,452,Saratoga Springs,CAROLINE STREET,No,No,No,No,Yes,No,"(43.0816, -73.78255)"
Church St & 5th St,12627,,,813,Coeymans,UTHE BOULEVARD,No,No,No,No,Yes,No,
Columbia Tpke & Old Troy Rd,2510,-73.71317,42.602,233,East Greenbush,OLD TROY ROAD,No,No,No,No,Yes,No,"(42.602, -73.71317)"
Myrtle Ave,12357,-73.666573,42.711497,"286, 289, 802",Troy,SPRING AVENUE,No,No,No,No,Yes,No,"(42.711497, -73.666573)"
State St & Linda Ln,2378,-73.897571,42.774583,355,Schenectady,UNKNOWN,No,No,No,No,Yes,No,"(42.774583, -73.897571)"
202 Main St,4123,-73.699912,42.765165,"182, 522",Cohoes,UNKNOWN,No,No,No,No,Yes,No,"(42.765165, -73.699912)"
TSP Broadway @ Rt 378 Off Ramp SB CO,5246,-73.71779552,42.70027877,"922, 923",Colonie,UNKNOWN,No,No,No,No,No,No,"(42.70027877, -73.71779552)"
East Ave & Union Ave,12851,,,451,Saratoga Springs,UNION AVENUE,No,No,No,No,Yes,No,
Mariaville Rd & Phillip St,12353,-73.985678,42.791134,351,Rotterdam,BURNETT STREET,No,No,No,No,Yes,No,"(42.791134, -73.985678)"
Excelsior Ave & Marion Ave,12219,-73.770668,43.090368,450,Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,"(43.090368, -73.770668)"
New Loudon Rd & Siena College / Campus View Dr,1908,-73.755405,42.718735,182,Colonie,CAMPUS VIEW DRIVE,No,No,No,No,Yes,No,"(42.718735, -73.755405)"
Curry Rd & Fayette St,3697,-73.94177,42.76722,763,Rotterdam,UNKNOWN,No,No,No,No,Yes,No,"(42.76722, -73.94177)"
Ontario St & Olmstead St,12685,-73.702759,42.77417,182,Cohoes,UNKNOWN,No,No,Yes,No,Yes,No,"(42.77417, -73.702759)"
Jay Street Station - River St & Jay St,4386,-73.68529,42.74178,"922, 923",Troy,JAY STREET,No,No,Yes,No,Yes,No,"(42.74178, -73.68529)"
Norwood Ave & Hawthorne St,13123,,,810,Schenectady,HAWTHORNE STREET,No,No,No,No,No,No,
New Turnpike Rd & 125th St,7179,-73.66873,42.78612,85,Troy,125TH STREET,No,No,No,No,Yes,No,"(42.78612, -73.66873)"
TSP Second Ave @ 19th St SB CI,5231,-73.6957083,42.72844496,"922, 923",Unknown,RIVER STREET,No,No,No,No,No,No,"(42.72844496, -73.6957083)"
Price Chopper - Glenmont,11757,-73.790643,42.602459,107,Bethlehem,UNKNOWN,No,No,No,No,Yes,No,"(42.602459, -73.790643)"
Central Ave & Maryland Ave,11325,-73.85989,42.74123,355,Colonie,VIRGINIA AVENUE,No,No,No,No,Yes,No,"(42.74123, -73.85989)"
118th St Station - 2nd Ave & 118th Street,4402,-73.675603,42.778228,923,Troy,117TH STREET,No,Yes,Yes,No,Yes,No,"(42.778228, -73.675603)"
Rt 50 & Rudy Chase Dr,2439,-73.93472,42.85997,450,Glenville,UNKNOWN,No,No,No,No,Yes,No,"(42.85997, -73.93472)"
Carman Rd & Ann Dr,1579,-73.93316,42.71901,763,Guilderland,UNKNOWN,No,No,No,No,Yes,No,"(42.71901, -73.93316)"
500 Patroon Creek Blvd  (CDPHP),10358,-73.805346,42.683892,712,Albany,PATROON CREEK BOULEVARD,No,No,Yes,No,Yes,No,"(42.683892, -73.805346)"
Columbia Tpke & Academy St,10871,-73.74799,42.63712,"114, 233",Rensselaer,BROADWAY,No,No,No,No,Yes,No,"(42.63712, -73.74799)"
Hoosick St & S. Lake Ave,2861,-73.659577,42.738952,"87, 96",Troy,CONWAY COURT,No,No,No,No,Yes,No,"(42.738952, -73.659577)"
Sand Creek Rd & Amoby Dr,1092,,,125,Colonie,BLURRY AVENUE,No,No,No,No,Yes,No,
TSP Ontario St @ Saratoga St WB CO,5512,-73.69776947,42.77421363,922,Cohoes,SARATOGA STREET,No,No,No,No,No,No,"(42.77421363, -73.69776947)"
Northern Blvd & Colonie St,3350,-73.757782,42.664542,"182, 737, 801, 803",Albany,BEVERLY AVENUE,No,No,No,No,Yes,No,"(42.664542, -73.757782)"
Guy Park Ave & Wall St,13212,-74.1942,42.940846,"600, 602",Amsterdam,UNKNOWN,No,No,No,No,Yes,No,"(42.940846, -74.1942)"
Henry Johnson Blvd & Sheridan Ave,3446,-73.762298,42.660358,"182, 737, 803",Albany,HENRY JOHNSON BOULEVARD,No,No,No,No,Yes,No,"(42.660358, -73.762298)"
Rt 9W and McCarty Ave,13016,,,"523, 801, 805",Albany,UNKNOWN,No,No,No,No,Yes,No,
Western Ave & N. Main Ave,887,-73.787893,42.665308,"10, 11, 115, 808",Albany,UNKNOWN,No,No,Yes,No,Yes,No,"(42.665308, -73.787893)"
Lark Dr & Capital Woods Apts #2,653,-73.75104,42.66417,"100, 106, 805, 872",Albany,PIETER SCHUYLER COURT EAST,No,No,No,No,Yes,No,"(42.66417, -73.75104)"
Craig St & Emmett St,3645,-73.93615,42.80538,"353, 873",Schenectady,ALBANY STREET,No,No,No,No,Yes,No,"(42.80538, -73.93615)"
TSP Third Ave @ 1st St SB CI,5241,-73.70983365,42.71016591,"922, 923",Watervliet,UNKNOWN,No,No,No,No,No,No,"(42.71016591, -73.70983365)"
TSP Second Ave @ 112th St SB CI,5199,-73.679982,42.771304,922,Troy,1ST AVENUE,No,No,No,No,No,No,"(42.771304, -73.679982)"
Whitehall Rd & S. Manning Blvd,11925,-73.80915,42.65018,"106, 801, 805",Albany,WHITEHALL COURT,No,No,No,No,Yes,No,"(42.65018, -73.80915)"
TSP Ontario St @ Remsen St SB CI,5189,-73.700241,42.775568,922,Cohoes,UNKNOWN,No,No,No,No,No,No,"(42.775568, -73.700241)"
Peoples Ave & 15th St,10971,-73.67632,42.73307,"87, 286, 802",Troy,EATON ROAD,No,Yes,Yes,No,Yes,No,"(42.73307, -73.67632)"
5th St & Huston St,1739,-73.96422,42.83262,353,Glenville,VLEY ROAD,No,No,No,No,Yes,No,"(42.83262, -73.96422)"
TSP South Pearl @ Mt Hope Dr. NB CI,5531,-73.76570809,42.63030907,923,Albany,UNKNOWN,No,No,No,No,No,No,"(42.63030907, -73.76570809)"
Rt 7 & Primrose Ln,2483,-73.88432,42.79451,"370, 873",Niskayuna,PRIMROSE LANE,No,No,No,No,Yes,No,"(42.79451, -73.88432)"
Church St & Clinton St,12180,-73.787966,43.083968,451,Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,"(43.083968, -73.787966)"
Second Ave & Frisbie Ave,2083,-73.773567,42.639153,"106, 801, 803, 805, 872",Albany,FRISBIE AVENUE,No,No,No,No,Yes,No,"(42.639153, -73.773567)"
Van Vranken Ave & Nott St,2413,-73.92686,42.82013,"351, 810, 998",Schenectady,NOTT STREET,No,No,No,No,Yes,No,"(42.82013, -73.92686)"
Cuthbert St & Lindberg Ct,3601,-73.95689,42.83491,353,Glenville,UNKNOWN,No,No,No,No,Yes,No,"(42.83491, -73.95689)"
Wade Rd & Avis Dr,12705,-73.779031,42.752952,190,Colonie,AVIS DRIVE,No,No,No,No,Yes,No,"(42.752952, -73.779031)"
Madison Ave & Project St,4285,-73.67744,42.71385,"289, 802",Troy,DUNHAM STREET,No,No,No,No,No,No,"(42.71385, -73.67744)"
TSP 4th St @ Congress St NB CO,5380,-73.68957564,42.72872893,"922, 923",Troy,CONGRESS STREET,No,No,No,No,No,No,"(42.72872893, -73.68957564)"
New Loudon Rd & Burton Ln,11065,-73.755167,42.708233,182,Colonie,BURTON LANE,No,No,No,No,Yes,No,"(42.708233, -73.755167)"
357 Troy Schenectady Rd,2919,-73.749023,42.744114,370,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.744114, -73.749023)"
Ballston Ave & South St (Market 32 Plaza),11476,-73.791357,43.072815,"450, 451, 840",Saratoga Springs,FINLEY STREET,No,No,Yes,No,Yes,No,"(43.072815, -73.791357)"
Wesleyan Ave & Chapel Pl,13287,,,600,Amsterdam,CHAPEL PLACE,No,No,No,No,Yes,No,
19th St & 9th Ave,3764,-73.70872,42.73222,370,Watervliet,UNKNOWN,No,No,No,No,Yes,No,"(42.73222, -73.70872)"
Central Ave & Emery Ave,11330,-73.866252,42.747032,355,Colonie,BOOTH STREET,No,No,No,No,Yes,No,"(42.747032, -73.866252)"
Colonie Station - Central Ave & Northway Mall,10514,-73.820587,42.706703,"1, 117, 125, 190, 355, 807, 905",Colonie,COLONIE CENTER,No,Yes,Yes,No,Yes,No,"(42.706703, -73.820587)"
Rt 50 & McCrea Hill Rd,12798,,,450,Ballston,UNKNOWN,No,No,No,No,Yes,No,
Union St & Parkwood Blvd,11304,-73.91988,42.81054,"370, 810",Schenectady,PARKWOOD BOULEVARD,No,No,No,No,Yes,No,"(42.81054, -73.91988)"
6th Ave & Jay St,4363,-73.68292,42.74142,85,Troy,JAY STREET,No,No,No,No,Yes,No,"(42.74142, -73.68292)"
S. Pearl St & 1st Ave,10729,-73.762016,42.63537,"107, 801",Albany,BOUCK STREET,No,No,No,No,Yes,No,"(42.63537, -73.762016)"
Wolf Rd & Sand Creek Rd,10524,-73.81151,42.71534,"1, 125",Colonie,SAND CREEK ROAD,No,Yes,Yes,No,Yes,No,"(42.71534, -73.81151)"
Pawling Ave & Walker Ave,4348,-73.66777,42.71461,"286, 289, 802",Troy,WALKER AVENUE,No,No,No,No,Yes,No,"(42.71461, -73.66777)"
Manning Blvd & Western Ave(discontinued),13404,,,,Albany,MANNING BOULEVARD,No,No,No,No,No,No,
Walmart -Rensselaer Plaza - Front,13448,,,214,East Greenbush,UNKNOWN,No,No,No,No,No,No,
59 Cardinal Ave(discontinued),1060,-73.79811,42.65158,,Albany,HELDERBERG AVENUE,No,No,No,No,No,No,"(42.65158, -73.79811)"
Brandywine Ave & Odell St,12435,-73.92882,42.80004,810,Schenectady,ODELL STREET,No,No,No,No,No,No,"(42.80004, -73.92882)"
Rt 50 & Brookline Rd,2317,-73.861702,42.975577,450,Ballston,BROOKLINE ROAD,No,No,No,No,Yes,No,"(42.975577, -73.861702)"
Madison Ave & Ontario St,3284,-73.78188,42.66062,"114, 805",Albany,QUAIL STREET,No,No,No,No,Yes,No,"(42.66062, -73.78188)"
Perth Rd & Tessiero Rd(St. Mary's Memorial Campus),13246,-74.186386,42.960072,"600, 601",Amsterdam,UNKNOWN,No,No,No,No,Yes,No,"(42.960072, -74.186386)"
TSP Second Ave @ 19th St NB CI,5373,-73.70148729,42.7297714,"922, 923",Watervliet,19TH STREET,No,No,No,No,No,No,"(42.7297714, -73.70148729)"
Northern Blvd & Colonie St,10584,-73.757382,42.664003,"182, 737, 801, 803",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.664003, -73.757382)"
Quail St & Western Ave,3458,-73.77732,42.66183,"100, 801, 803",Albany,WESTERN AVENUE,No,No,No,No,Yes,No,"(42.66183, -73.77732)"
