Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location
Chrisler Ave & Main Ave,13035,,,810,Schenectady,CRANE STREET,No,No,No,No,Yes,No,
19th St & 6th Ave,3767,-73.70532,42.73124,370,Watervliet,5TH AVENUE,No,No,No,No,Yes,No,"(42.73124, -73.70532)"
New Scotland & Allen St (St. Peter's Hospital),704,-73.80225,42.65673,"13, 801, 803, 806",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.65673, -73.80225)"
Point of Woods (Knollwood Terr),11347,-73.87473,42.71315,803,Albany,KNOLLWOOD TERRACE,No,No,No,No,Yes,No,"(42.71315, -73.87473)"
Henrietta St & Whispering Pines School,13285,,,600,Amsterdam,HENRIETTA STREET,No,No,No,No,Yes,No,
50 Wolf Rd,10523,,,"1, 117, 125, 190, 807",Colonie,UNKNOWN,No,No,Yes,No,Yes,No,
Ormond St & Buckingham Dr,13401,,,801,Albany,GREENWAY,No,No,No,No,No,No,
Rt 7 & Shannon Blvd,2478,-73.854915,42.782968,"370, 873",Niskayuna,UNKNOWN,No,No,No,No,Yes,No,"(42.782968, -73.854915)"
Whitehall Rd & Cardinal Ave,1063,-73.80151,42.64745,"106, 801, 805, 806",Albany,STANFORD COURT,No,No,No,No,Yes,No,"(42.64745, -73.80151)"
Delaware Ave & Marshall St,2955,-73.780181,42.641662,"18, 801, 805, 806",Albany,MARSHALL STREET,Yes,No,No,No,Yes,No,"(42.641662, -73.780181)"
Broadway & Menands Rd,103,-73.72218,42.69497,22,Colonie,EAST ELMWOOD ROAD,No,No,No,No,Yes,No,"(42.69497, -73.72218)"
Rt 50 & Van Buren St,2315,-73.849103,43.005321,450,Milton,VAN BUREN STREET,No,No,No,No,Yes,No,"(43.005321, -73.849103)"
Quail St & Warren St,3490,-73.78294,42.65651,"100, 801, 803, 805",Albany,PARK AVENUE,No,No,No,No,Yes,No,"(42.65651, -73.78294)"
Elm Ave & Delaware Ave,10599,-73.851515,42.6149,519,Bethlehem,UNKNOWN,No,No,No,No,Yes,No,"(42.6149, -73.851515)"
Rt 7 & Garling Rd,1509,-73.79105,42.761071,370,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.761071, -73.79105)"
Erie Terrace & Bridge St,13305,,,601,Amsterdam,BRIDGE STREET,No,No,No,No,Yes,No,
5040 Perth Rd (Sunoco),13247,-74.185728,42.958038,"600, 601",Amsterdam,UNKNOWN,No,No,No,No,Yes,No,"(42.958038, -74.185728)"
Western Ave & Ontario St,257,-73.77996,42.6627,"10, 11, 115, 808",Albany,ONTARIO STREET,No,No,Yes,No,Yes,No,"(42.6627, -73.77996)"
Columbia Tpke & Kraft Rd,2248,-73.68394,42.56715,233,Schodack,KRAFT ROAD,No,No,No,No,Yes,No,"(42.56715, -73.68394)"
New Scotland Ave & Euclid Ave,1022,-73.809129,42.659308,"13, 805, 806",Albany,EUCLID AVENUE,No,No,No,No,Yes,No,"(42.659308, -73.809129)"
Guilderland Ave & Ontario St,3687,-73.96635,42.79219,763,Schenectady,UNKNOWN,No,No,No,No,Yes,No,"(42.79219, -73.96635)"
Fulton Ave & Sheridan Ave,12436,-73.90705,42.82452,"351, 352",Schenectady,UNKNOWN,No,No,No,No,Yes,No,"(42.82452, -73.90705)"
River St & Bond St,851,-73.6825,42.7507,802,Troy,BOND STREET,No,No,No,No,Yes,No,"(42.7507, -73.6825)"
Columbia Tpke & Madison Ave,10152,-73.73035,42.61558,233,East Greenbush,MADISON AVENUE WEST,No,No,No,No,Yes,No,"(42.61558, -73.73035)"
10th Ave & Congress St,13345,,,810,Schenectady,OAK STREET,No,No,No,No,Yes,No,
Madison Ave & Dove St,542,-73.76546,42.65125,"114, 115",Albany,SOUTH SWAN STREET,No,No,No,No,Yes,No,"(42.65125, -73.76546)"
TSP Ontario St @ 787 WB CO,5510,-73.69704105,42.77414591,922,Cohoes,COHOES BOULEVARD,No,No,No,No,No,No,"(42.77414591, -73.69704105)"
Maple Ave & Voorheesville Ave,2191,-73.92993,42.64994,519,New Scotland,VOORHEESVILLE AVENUE,No,No,No,No,Yes,No,"(42.64994, -73.92993)"
Market St & Meadow St,13320,-74.186843,42.945226,601,Amsterdam,LINCOLN AVENUE,No,No,No,No,Yes,No,"(42.945226, -74.186843)"
TSP 4th St @ Federal St SB CI,5215,-73.68725183,42.73611148,"922, 923",Troy,UNKNOWN,No,No,No,No,No,No,"(42.73611148, -73.68725183)"
TSP South Pearl @ Hudson Ave SB CO,5278,-73.75402501,42.6478588,"922, 923",Albany,HUDSON AVENUE,No,No,No,No,No,No,"(42.6478588, -73.75402501)"
Albany Shaker Rd & Times Union,11611,-73.79417,42.72679,737,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.72679, -73.79417)"
Arch St & Cohoes Ave,11034,-73.696212,42.746738,182,Green Island,JOHN STREET,No,No,No,No,Yes,No,"(42.746738, -73.696212)"
3rd St & Monroe St,4435,-73.69338,42.71722,"85, 224, 802",Troy,MADISON STREET,No,No,No,No,Yes,No,"(42.71722, -73.69338)"
Rt 2 & Delatour Rd,2903,-73.73143,42.73828,370,Colonie,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.73828, -73.73143)"
Georgetta Dix Pl & Summit Towers,11228,-73.9392,42.80912,"810, 830",Schenectady,UNKNOWN,No,Yes,No,No,Yes,No,"(42.80912, -73.9392)"
Columbia St & Pasinella (Eddy Ford Nursing Home),4018,-73.723457,42.77286,182,Cohoes,PASINELLA WAY,No,Yes,Yes,No,Yes,No,"(42.77286, -73.723457)"
Delaware Ave & Maple Ridge Ave,2986,-73.78745,42.639,"18, 801, 872",Albany,MAPLERIDGE AVENUE,No,No,No,No,Yes,No,"(42.639, -73.78745)"
Burdett Ave & Eagle St,10048,-73.67113,42.73475,"87, 802",Troy,EDDY CENTER,No,No,No,No,Yes,No,"(42.73475, -73.67113)"
Tibbits Ave & Cohoes Ave,11573,-73.695893,42.749193,182,Green Island,UNKNOWN,No,No,No,No,Yes,No,"(42.749193, -73.695893)"
Guilderland Ave & Thopmson St,1619,-73.965114,42.793404,763,Schenectady,BRADT STREET,No,No,No,No,Yes,No,"(42.793404, -73.965114)"
Clizbe Ave & Austin St,13270,,,600,Amsterdam,CRESCENT AVENUE,No,No,No,No,Yes,No,
Albany Shaker Rd & Old Hickory Dr,2694,-73.75142,42.67405,737,Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.67405, -73.75142)"
Washington Ave & Manning Blvd,11581,-73.79105,42.67271,"12, 114, 801, 803",Albany,WINTHROP AVENUE,No,Yes,Yes,No,Yes,No,"(42.67271, -73.79105)"
Delaware Ave & Grant St,1312,-73.80544,42.63102,"18, 872",Bethlehem,GRANT STREET,No,No,No,No,Yes,No,"(42.63102, -73.80544)"
Entrance to St. Francis Heights,10781,-73.71919,42.65976,"214, 808",Rensselaer,SAINT FRANCIS PLACE,No,No,No,No,Yes,No,"(42.65976, -73.71919)"
TSP Second Ave @ Slingerland St EB CO,5310,-73.771406,42.639246,922,Albany,SOUTH DOVE STREET,No,No,No,No,No,No,"(42.639246, -73.771406)"
Carman Rd & Wayto Rd,1652,-73.94255,42.75981,763,Rotterdam,WAYTO ROAD,No,No,No,No,Yes,No,"(42.75981, -73.94255)"
Rt 4 & Yonder Farms,11149,-73.69106,42.67185,"224, 808",North Greenbush,DUDLEY HEIGHTS,No,No,No,No,Yes,No,"(42.67185, -73.69106)"
Edward St & Vrooman Ave(Across from 60 Edward St),13258,,,600,Amsterdam,VROOMAN AVENUE,No,No,No,No,Yes,No,
Main Ave & Forest Rd,3583,-73.941679,42.79964,"353, 873",Schenectady,UNKNOWN,No,No,No,No,Yes,No,"(42.79964, -73.941679)"
Pine Hollow Aboretum (Nature Bus),12994,,,,Bethlehem,NEW SCOTLAND ROAD,No,No,No,No,No,No,
2113 Central Ave,2282,-73.87414,42.753962,355,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.753962, -73.87414)"
Norwood Ave & Hawthorne St,13124,,,810,Schenectady,SCHUYLER STREET,No,No,No,No,No,No,
Columbia Tpke & Jacob St,2511,,,233,East Greenbush,JACOB STREET,No,No,No,No,Yes,No,
7 Northern Dr (Family Dollar),4501,-73.66634,42.78635,85,Troy,6TH AVENUE,No,No,No,No,Yes,No,"(42.78635, -73.66634)"
North Albany Station - Broadway & Center St,12958,,,"22, 801, 805, 922, 923",Albany,CENTER STREET,No,Yes,Yes,No,Yes,No,
Watervliet 19th St Station - 2nd Ave & 19th St,12964,,,"22, 922, 923",Watervliet,19TH STREET,No,Yes,Yes,No,Yes,No,
Hackett Blvd & Clara Barton Dr(discontinued),1173,-73.775077,42.646384,,Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.646384, -73.775077)"
120 Hoosick St,2892,-73.67626,42.73911,"87, 96, 802",Troy,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.73911, -73.67626)"
Whitehall Rd & Mariette Pl,1235,-73.79613,42.64539,"106, 801, 805, 806",Albany,RAMSEY PLACE,No,No,No,No,Yes,No,"(42.64539, -73.79613)"
TSP River St @ Middleburgh St NB CO,5396,-73.68351173,42.74606076,"922, 923",Troy,INGALLS AVENUE,No,No,No,No,No,No,"(42.74606076, -73.68351173)"
New Loudon Rd & Fidders Ln,1909,-73.755495,42.720047,182,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.720047, -73.755495)"
Excelsior Ave & Veterans Way,12220,-73.762542,43.090699,450,Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,"(43.090699, -73.762542)"
Washington Ave & Chestnut St,11407,-73.729179,42.657919,"214, 808",Rensselaer,CHESTNUT STREET,No,No,No,No,Yes,No,"(42.657919, -73.729179)"
Washington Ave & Homestead Ave,1849,-73.79277,42.67386,"12, 114, 801, 803",Albany,HOMESTEAD AVENUE,No,No,No,No,Yes,No,"(42.67386, -73.79277)"
UAlbany (SEFCU Center),12352,-73.829341,42.682709,115,Guilderland,WEST UNIVERSITY DRIVE,No,No,No,No,Yes,No,"(42.682709, -73.829341)"
